timestamp,gateway_address,schedule_id,connected_nodes,tx_total,rx_total,tx_rate_1s,rx_rate_1s,avg_latency_ms
2025-09-05T17:54:28.691268,0x24374C76B5CF8604,6,10,0,0,0,0,38.92
2025-09-05T17:54:30.741292,0x24374C76B5CF8604,6,10,0,0,0,0,37.94
2025-09-05T17:54:32.771259,0x24374C76B5CF8604,6,10,0,0,0,0,35.83
2025-09-05T17:54:34.832114,0x24374C76B5CF8604,6,10,0,0,0,0,33.45
2025-09-05T17:54:36.902044,0x24374C76B5CF8604,6,10,0,0,0,0,29.92
2025-09-05T17:54:38.974427,0x24374C76B5CF8604,6,10,0,0,0,0,29.84
2025-09-05T17:54:41.050417,0x24374C76B5CF8604,6,10,0,0,0,0,30.65
2025-09-05T17:54:43.114335,0x24374C76B5CF8604,6,10,0,0,0,0,30.58
2025-09-05T17:54:45.182034,0x24374C76B5CF8604,6,10,0,0,0,0,32.38
2025-09-05T17:54:47.263883,0x24374C76B5CF8604,6,10,0,0,0,0,32.71
2025-09-05T17:54:49.342440,0x24374C76B5CF8604,6,10,0,0,0,0,32.18
2025-09-05T17:54:51.406200,0x24374C76B5CF8604,6,10,0,0,0,0,32.94
2025-09-05T17:54:53.477927,0x24374C76B5CF8604,6,10,0,0,0,0,32.42
2025-09-05T17:54:55.553106,0x24374C76B5CF8604,6,10,0,0,0,0,32.23
2025-09-05T17:54:57.611582,0x24374C76B5CF8604,6,10,0,0,0,0,33.34
2025-09-05T17:54:59.670216,0x24374C76B5CF8604,6,10,0,0,0,0,34.68
2025-09-05T17:55:01.736220,0x24374C76B5CF8604,6,10,0,0,0,0,37.63
2025-09-05T17:55:03.810192,0x24374C76B5CF8604,6,10,0,0,0,0,38.84
2025-09-05T17:55:05.875327,0x24374C76B5CF8604,6,10,0,0,0,0,39.91
2025-09-05T17:55:07.962767,0x24374C76B5CF8604,6,10,0,0,0,0,37.96
2025-09-05T17:55:10.021840,0x24374C76B5CF8604,6,10,0,0,0,0,34.41
2025-09-05T17:55:12.115183,0x24374C76B5CF8604,6,10,0,0,0,0,33.16
2025-09-05T17:55:14.192835,0x24374C76B5CF8604,6,10,0,0,0,0,31.61
2025-09-05T17:55:16.274457,0x24374C76B5CF8604,6,10,0,0,0,0,31.78
2025-09-05T17:55:18.343548,0x24374C76B5CF8604,6,10,0,0,0,0,32.14
2025-09-05T17:55:20.417038,0x24374C76B5CF8604,6,10,0,0,0,0,35.06
2025-09-05T17:55:22.509053,0x24374C76B5CF8604,6,10,0,0,0,0,33.73
2025-09-05T17:55:24.592697,0x24374C76B5CF8604,6,10,0,0,0,0,34.44
2025-09-05T17:55:26.672170,0x24374C76B5CF8604,6,10,0,0,0,0,32.60
2025-09-05T17:55:28.748993,0x24374C76B5CF8604,6,10,0,0,0,0,32.80
